Tepiter north=Stelle south=Neptune-Hecomri east=Drano west=Hephaesbar
Topiadus north=Chronos south=Lestine east=Nisap west=Sicnos
Magtyphoon north=Morach south=Phantax east=Tauri-Lansus west=Heclera-Yamesben
Signim south=Typhoon-Turnhephaes east=Ruvancron west=Scheroxide
Saicron north=Vontaxnet south=Endor-Bora east=Leonislu west=Delta-Dosdos
Licaph north=Sepvan south=Saipri east=Discarda west=Phoonam
Nosnibi north=Nimbuslon south=Potelmia-Sepdos east=Heinleinto west=Ruba
Dovretem north=Trapist south=Dianim east=Mari-Zathu west=Cogco
Promedra north=Auraxi south=Dani-Sairontoid east=Lestivian west=Retphobos
Oxisa north=Peskaradrea south=Arva east=Condeni west=Jupi-Nulames
Dovnibi north=Mercu-Heli south=Britoidval east=Neli
Dosbritoid north=Trapist-Neptunebri south=Metneli-Vada east=Dreanep west=Duneleo
Loxdan north=Marida-Nisen south=Nisleth east=Vusoripi west=Britoid-Leracu
Pluto-Keplarbo north=Nisterra south=Endorsai east=Nigpiter west=Stelle-Nigli
Chronosa north=Minibi-Cheanimbus south=Vandav east=Phantax-Lonsimio
Terrario north=Pisttauri south=Ryjupi east=Miaphani west=Dandes
Buscon north=Biami south=Saturnheph east=Nibiru-Thirytra west=Lepjosen
Susstag north=Trapist-Phobos south=Nimbuslas east=Cicane west=Osimio-Conloxbri
Lera-Desson north=Terra-Oxiciibri south=Trapist-Ditesic east=Taxdiahec west=Licdomi
Astosme north=Licori south=Oxitune east=Jocatsai west=Cordo
Pribenzar north=Tosli south=Stelle-Arvada east=Vanori west=Yaspho
Stelle-Amdi north=Appotel south=Mesles east=Retepsi west=Dranossi
Potelmia north=Senes south=Mioticu east=Tostedune west=Nomini
Leplesti north=Nimbus-Lonsi south=Leonisro east=Danmia west=Domi-Priseg
Bari-Diape north=Appo-Andomi south=Aespha west=Hecbus
Aura north=Boslicdy south=Saiaes east=Phantax-Diaper west=Nimbus-Telmia
Cheaara north=Vetu south=Hephaes-Tunedoneleb east=Taxcongla west=Zarpo
Britoid-Davstelle north=Cronron south=Piadite east=Scheroso west=Ditelu
Stagnibi-Donemeg north=Donegebo south=Dosphantax east=Typhoonpri west=Lestilein
Kupsic-Aphrora north=Lestiza south=Boraori east=Kupsicgo west=Loxophec
Nigbri north=Conkup south=Dreane east=Dreacar west=Nigesla
Aesphiaes north=Vantu south=Cardani-Turnmini east=Heinlein-Nimbusnos west=Stellera-Roravian
Potel-Veronna north=Litunedos south=Epsimio-Davvecii east=Deltamars west=Caldo-Vonpago
Lupluto north=Thicel south=Ceticor east=Dani-Auraty west=Riona-Phoonal
Pluto-Pussic north=Despe south=Mercury-Aldige east=Dige-Nisvarphan west=Varditetius
Spholi-Jupi north=Disthili south=Thosnep east=Taval west=Hephaesoso
Benzarta north=Embo-Budanres south=Mercury-Morthethu east=Zathu-Hypho west=Scherzar-Aphrora
Luto north=Davconkep south=Lambdus-Tunetunepha east=Vadani-Xargipus west=Pespro
Nimbusbus north=Cales south=Caldomi-Boslic east=Miaheph west=Vekep
Napiusan north=Radelta south=Perida-Eonshpo east=Recury west=Phoontal
Ciileonis north=Epsimio-Trapiststel south=Cygte east=Sickaracen west=Telmia-Pluto
Goep north=Deni-Lictel south=Barsonspho east=Lasbiru west=Xelitau
Nigesla north=Cygrora south=Castalde east=Nigbri west=Marstag
Rydige north=Glatius-Lestiap south=Osoli-Vilepba east=Senau west=Magpe
Amdige-Biru north=Lobusda south=Phoonpri east=Retme west=Danibi-Chealeinleo
Jocas north=Vuskara south=Biatyphoon east=Bukara west=Ditesimio
Mopi north=Aesna south=Endor-Lanomi east=Nospiaar west=Stellera-Suszar
Meom north=Ditecares south=Denibi east=Pistvusxi west=Lonsimio-Piusbora
Nigbritoid north=Dovthigi south=Zarno east=Obli-Cygpa west=Plutopia-Thosliccor
Keplar north=Busstelle south=Piabran east=Mebuso west=Noelidav
Lonsi-Davquabar north=Lera-Opdov south=Magpiter east=Resty west=Metneli-Ximari
Discarda north=Dovap south=Aesti east=Moresla west=Licaph
Disret north=Vanpa south=Morlar east=Denibi-Karamag west=Centau-Mercu
Dorsai-Yarora north=Buscyg south=Biathura east=Carda-Drasepam west=Mari
Rionala north=Miocor south=Noeli-Denibi east=Cosmari-Cosmari west=Nula-Pripia
Eondavdune north=Sailo south=Vusesla east=Cate west=Osolimeg
Potelmia-Terra north=Lonsi-Leinam south=Bari-Nomi east=Pusneli west=Jopist
Meglo-Hecmini north=Diatithu south=Trapistes east=Deni-Dreamet west=Conbia
Lebnoe north=Vetoidal south=Aldige-Dyshporio east=Percii-Taldov west=Arvada-Opchea
Kupsicnos north=Danibi-Rettaxoso south=Lepthosgla east=Davlesti west=Ceti-Nostauri
Ciibenzar north=Dosqua south=Doneresty east=Topianu west=Osi-Piusnimbus
Cronvesic north=Vidovdre south=Tetos east=Quatoste west=Cogrio
Busmarto north=Taura south=Dusto-Ara east=Dosheph west=Calu
Liuspro north=Piusva east=Appotel-Mercury west=Karaqua-Nomi
Rudraleth north=Varcyg south=Miaheph east=Sepdreari west=Cales
Taurida-Aesnigep north=Leonis-Domini south=Arvada-Plutopia east=Bari-Castalvon west=Tiuspo
Dyvian north=Tuno south=Branlein east=Eonspho west=Eonviandor
Ura-Potelmia north=Pulbupro south=Nula-Danibi east=Lumopi west=Lonsi-Tiuspri
Roncu north=Osimio-Omri south=Meglo east=Vecas west=Astos
Leinvussi north=Kara south=Conpiter east=Endor-Branstagni
Canos south=Brenta-Orilepcon east=Benzartius west=Boraso
Aesper north=Nimbus-Navusthi south=Cronquale east=Sicturnxi west=Vien
Dani-Dreape north=Kupsic-Aldige south=Telmiate east=Ando-Chronos west=Reob
Boslic-Phoboslic north=Lera-Rontauri south=Simiovan east=Quara west=Thinisres
Yalebmar north=Ronlickis south=Pulnu east=Britoidcal west=Potel-Aracen
Vianpho north=Toidcen south=Castal-Stagni east=Cori-Delta west=Dosperi
Sicmopi north=Xeliori east=Toidpul west=Xeli-Opmarscen
Lalebco north=Caldomi-Licthe south=Meshec east=Luspholi west=Deltaoxi
Godus north=Tauri-Castal south=Endor-Vesi east=Dustopia-Dreheinlein west=Genetqua
Tiusmet north=Boslicmeg south=Ridani east=Vepist west=Ronceti-Shporiona
Dreacar north=Aldi-Terrathe south=Phantaxru east=Leincyg west=Nigbri
Piter-Castal north=Amdige south=Terraan east=Drela west=Neptuneep
Perida-Phani north=Pluto-Segdeigla south=Qualepson east=Nismeglo west=Dreatos
Kisvar north=Buphoonbri south=Rionames east=Karabos west=Dosmarsbri
Vada-Nimbustu north=Metneli-Restagni south=Ximari-Donereshein east=Tidor west=Barson
Celles-Telmia north=Ando-Zeusdynep south=Zeusdraxe west=Aespia
Taap north=Hecretcyg south=Dermini-Conle east=Dreaturnbri west=Lepmia
Cogres north=Catdunemars south=Aldige-Cicaval east=Epsi-Larcu west=Gedovbo
Hecori north=Segsig south=Hypho-Mari east=Thuragi west=Ridani-Leonis
Sonphoon north=Mercury-Dresic south=Centau-Achra east=Conzeustel west=Neli-Jocelles
Nulatos north=Plutopia-Auralein south=Ditemio east=Phantax-Titosdrea west=Pustedor
Delta-Marstau north=Lalarkup south=Neptuneep east=Amdige west=Piter
Zathu-Dusto north=Ruhe south=Neptunehy east=Lathiqua west=Ditestag
Cury-Scherlarlius north=Tabo-Pistrypius south=Domini-Benzar east=Delta-Ruori west=Pusvi
Nisscher north=Boraci south=Lera-Luas east=Stagnibi-Budite west=Xarsus
Barida-Shporio north=Nigbari south=Phanibi-Astos east=Cardani-Lerakara west=Pagomor
Rycica north=Nayaret south=Dermi-Embo east=Miabos west=Quaxarshpo
Cardani north=Lumeglo south=Eonrida east=Ando-Corida west=Xima
Disepsi north=Lerano south=Mescon east=Lambdusto-Thosnoe west=Castalto
Omrida-Britoid north=Minibi south=Eonna east=Achra-Eslalox west=Lasvian
Mexar north=Larda south=Phantax-Rora east=Promerio west=Mopi-Britoiddia
Embo-Phoonaeseon north=Dermini-Chronosach south=Dovbusne east=Stagni-Toidtel west=Nulazar
Buvalles north=Meglo-Pesdunedite south=Aesob east=Stagnibi-Nomini west=Aesthi
Prido north=Deshec south=Loxdige east=Lonsimio-Danthura west=Tiusdavtius
Davomri north=Danzeus south=Maggiaes east=Tiusdusto-Morlep west=Aesbarson
Ara-Dresonpri north=Shporio-Solipes south=Dorsaihe east=Crondone west=Rora-Titaxhy
Carda-Neptune north=Domini-Thetius south=Nisrida east=Ridani-Scherthos west=Prinoeli
Biabora north=Tasaturn south=Mianet east=Naoxibus west=Tuopvus
Lebach north=Benzarbos south=Lestiop east=Magsig west=Denibi-Kara
Mercu-Tallude north=Libo south=Kisdige east=Cosma-Brentaom west=Keplardan
Pulcarda north=Stagnibi-Mari south=Zaraes east=Rasa west=Nospius
Oblicron north=Vizathu south=Terra-Laval east=Tanibi west=Heinlein
Thura north=Potel-Sepdelta south=Yapercii east=Danibi-Keplar west=Cygtelmia
Promelan north=Dorsainim south=Pulre east=Hephaescron west=Bulius
Carda-Danibi north=Soli-Osolida south=Radra east=Theoplon west=Shporiona-Kara
Pespercii north=Cordo-Tunoe south=Brentagla east=Tikis west=Opsep
Bual north=Dyheph south=Joglatius east=Leppricii west=Zathu-Kupsic
Aldige-Oxilas north=Varba south=Tuneturn east=Turnobli west=Tusaipha
Tauri-Tupist north=Liusori south=Latiusval east=Domini-Buau west=Phobos-Xima
Celles-Biru north=Domi-Esladune south=Celles-Brenta east=Prome-Deslictax west=Puleon
Buscal north=Crondosob south=Karapulaes east=Leoniscen west=Marida-Talmorle
Sendani north=Draleptra south=Vephi east=Tileboxi west=Thosas
Donecaldo north=Larcentau south=Meglo-Meryqua east=Siclocas west=Senvuspes
Lanepsi north=Brenta-Dustopia south=Dosda east=Licattius west=Amdige-Nibi
Litopia north=Biaretdes south=Mesheph east=Leonis-Cataph west=Perida-Aldige
Miabu north=Lepcron south=Dramag east=Riona-Scherlep west=Roramag
Bora-Xeli north=Toidge south=Spholinep east=Cosmari-Viliclox west=Embora-Cardani
Magstag north=Sondreanig south=Relep east=Trapist-Dunepago west=Hephaes
Ronnacel north=Cordo-Caldo south=Epsimio-Deni east=Karamari west=Aldi-Valles
Typhoonar north=Telmiapo south=Ressaidia east=Miametune west=Minibi-Osoli
Thospago north=Prome-Phiqua south=Disciihec east=Cetiti west=Phantaxstel
Dorsai-Lannis north=Zathura-Toslasmia south=Thepeskup east=Celles-Talesti west=Nomi-Phanibi
Ceti-Veleth north=Endor-Phinim south=Nulaxe east=Marza west=Lasbi
Pessep north=Stelle-Dismari south=Ceti-Urato east=Disleinlon west=Esla-Marcu
Telmiaka north=Nibiru-Thirytra south=Phanibi-Varlep east=Boslicsen west=Saturnheph
Dialesti north=Peri south=Oxipha east=Dunecog
Topiamer north=Temo south=Prilius east=Cabrenta west=Biru-Phani
Stellera-Vadani north=Mercu-Pago south=Rondiagi east=Telmia-Cellesti west=Hectau
Ura-Dorsai north=Deni-Noelicar south=Vanlon-Biari east=Xarsus west=Heli-Respotel
Epsimio-Tunetauri north=Telmiaori south=Biruam east=Liussai west=Taret
Kisdov north=Dermini-Doneen south=Lamia east=Ciige west=Dancat
Tunemeg north=Cronmet south=Morri east=Solixi west=Vikupsic
Cygtelmia north=Amdige-Prome south=Nula-Retleth east=Thura west=Dreadus
Digemet north=Giappo south=Nelijo east=Phiti west=Jotel
Achra-Conbren south=Zathura-Nimbus east=Racentau west=Castalben
Lasdre north=Lanstag south=Neptune-Uratal east=Lepdoneop west=Naxartoid
Lotauri north=Lera-Kisobli south=Vianpiter east=Boratal west=Terra-Danper
Rychea north=Leonisvar south=Cosmari-Phantax east=Noslasdor west=Nomi-Viannibi
Cygtune north=Simio-Concos south=Dermi-Nibi east=Zathu west=Phoondan
Tauri-Varhypho north=Riona south=Plutopia-Vada east=Tiusop west=Segde
Shporiona-Quaheli north=Spholi-Rida south=Castalpha east=Tiusci west=Vanlon
Vanremer north=Promerio east=Turnty west=Phantax-Rora
Conva north=Ridani-Morbren south=Cetiba east=Mini-Simio west=Deibarson
Varpulphoon north=Vada-Xarara south=Tihephaes east=Sicthoskup west=Turneon
Ruphichea north=Dunegoaph south=Phobos-Pritos east=Butal west=Pluto-Dunetax
Oxicon north=Metneli-Arva south=Prizardia east=Toscelles west=Embo-Karadra
Miopulkis north=Nacosma south=Dranossi east=Appotel west=Taurida-Trapist
Amdige-Loxtalic north=Liseptius south=Sonlius-Shporio east=Zathu-Cheavada west=Neptune-Vianlasoso
Liclep north=Varca south=Brentaso east=Cardani-Chronos west=Miodavju
Leragi north=Raau south=Rondi-Curycii east=Thura-Heinlein west=Mesciiap
Meglolep north=Orido south=Real east=Barsonop west=Heli-Largi
Cori north=Boslicbus south=Vadani-Xargipus east=Dustopia-Vallesti west=Davconkep
Pesbi north=Minibi-Dosneli south=Gidorsai east=Britoid-Magvalles west=Piadi
Thery north=Gistag south=Brentaleth east=Larmornet west=Segme
Stellera-Roravian north=Kisdeicog south=Glatiussep east=Aesphiaes west=Pestu
Celles-Deni north=Tunehectal south=Phoonvada east=Vonxi west=Keplar-Josoli
Curyco north=Castalzar south=Typhoon-Lera east=Varconal west=Zeusboslic
Lagomi north=Meglopist south=Leonisoso east=Naterra west=Cheabren
Typhoonza north=Orian south=Cetinig east=Busnig west=Dosmiosen
Opappo north=Meyaca south=Branra east=Sonpiter west=Shporiona-Mercu
Ando-Esla north=Lestisen south=Theoplon east=Achra-Rora west=Soli-Osolida
Senlamb north=Ridani-Minibi south=Valles-Caldo east=Lambdus-Dunexima west=Astos-Amdige
Piusvanto north=Yadre south=Boratal east=Oridani west=Lera-Kisobli
Morbus north=Lonsi-Vondia south=Danibi-Mesres east=Sigbi west=Dorsai-Catsi
Nosci north=Aesmio south=Phoonmars east=Phantaxstel west=Dorsai-Rionapri
Golon north=Vadani-Thura south=Thura-Barson east=Amdige-Talbrenta west=Ciisimio
Rondige north=Sigleo south=Dospri east=Roracyg west=Hecdyphi
Taop north=Aespro south=Buditeleo east=Pluto-Saturndes west=Vonpus
Phoonosoli north=Brantethi south=Davpo east=Resbus west=Jociipius
Magdusto north=Busge south=Appo-Renethec east=Lanetju west=Cronben
Phantaxom north=Leplibos south=Licbarson east=Castalval west=Giperi-Leinoriva
Rionabri north=Retlarplu south=Aesxeli east=Keplar-Karales west=Aestax
Trapistdus north=Hyphobos-Magmia south=Dosheph east=Privina west=Taura
Danibi-Ruquaan north=Tiusda south=Ximari-Diapul east=Percii-Deltate west=Jorontune
Ditelar north=Astos-Tulep south=Zeusrora east=Xima-Auracar west=Marslumor
Vusmag north=Phantaxlo south=Cori-Magpi east=Pripiustra west=Rybus
Nula-Pripia north=Dermini-Taquapro south=Castal-Ditecon east=Rionala west=Susspho
Yasicmio north=Ticica south=Catvial east=Achrade west=Glatiustau
Denibi-Britoidvi north=Lonsi-Eslanu south=Bari-Lestiaes east=Noeli west=Glatiusdor
Neli-Tunedesscher north=Thosesla south=Mepes east=Kara-Lury west=Terra-Thosar
Rora-Typhoonnos north=Miaresbri south=Pago-Deltago east=Varramia west=Cellesti-Centau
Mesgla north=Biasimio south=Tauri-Sigdune east=Arva-Miota west=Davterra
Lambdusto-Roncas north=Talcor south=Desresra east=Xeli-Cetizar west=Seppha
Quascher north=Jopist south=Biru-Pesamdi east=Bari-Nomi west=Cicato
Aphro-Lanme north=Achracon south=Teo east=Prome-Esla west=Netosi
Lambdusto-Rorala north=Retlo south=Cogthi east=Mercu-Brenta west=Endor-Talvar
Castalpho north=Catphias south=Heinleinres east=Dossusca west=Dyka
Phoontau north=Davmet south=Britoidlas east=Domi-Jupiter
Thura-Lardor north=Cronrio south=Deigi east=Pagocon west=Lethprisen
Senep north=Cordomi-Danibi-Nomi south=Oxitos east=Minibi-Loma west=Karazar
Gevardune north=Tiuszathu south=Lastopia east=Achra-Castal west=Susdunepus
Lestidor north=Karali south=Mioleo east=Castal-Rumionos west=Scheraphro
Ditesimio north=Hephaes-Veconpi south=Chronosdre east=Jocas west=Biruas
Neptune-Nisas north=Chronoscos south=Hypho-Boslic east=Nigmini-Nosdel west=Saturndite
Pesmars north=Typhoon-Cygge south=Telar east=Phanibi-Kupsic west=Rorami
Potel-Naron north=Caldomi-Aphro south=Turnres east=Ditelas west=Solibar
Thuradis north=Ruchea south=Miastel west=Epsimio-Lebheinlein
Domini north=Dermini-Resan south=Magdi east=Carda-Vusdeni west=Osimio-Danibi
Larquana north=Cheazaroxi south=Sennoeli east=Phanibi-Cosmari west=Thephan
Vallesti-Retpulce north=Thelar south=Dermi-Chronos east=Appo-Drealoxscher west=Hephaes-Ridani
Pusru south=Pusmor east=Convianpi west=Nisnanis
Astos-Piusleth north=Corida-Pagome south=Zathura-Doster west=Talaph
Sonas north=Lera-Vada south=Tula east=Soli-Osolidra west=Cordo-Sonciidei
Nisdes north=Aphro-Eonmet south=Bucon east=Schernoe west=Dermini-Peri
Barson north=Stagni south=Boslicnos east=Vada-Nimbustu west=Pisttau
Piusoxi north=Karaosi south=Boslicbu east=Oxitoid west=Phiprile
Promestag north=Netmiocog south=Topiaxar east=Cadre west=Retsus
Promehec north=Tape south=Danibi-Cury east=Quau west=Peri-Telmia
Cronmari north=Dunerucar south=Tosqua east=Omrida-Dermini west=Piaboslic
Talnep north=Thipluto south=Epsi-Nahe east=Prome-Thehecge west=Marmini
Loriona north=Valles-Desdeni south=Leraar east=Stellera-Kupsic west=Lonsi-Typhoon
Tuap north=Dredite south=Dyembo east=Zeusmetne west=Dermi-Zeushypho
Eslamet north=Donetoid south=Biru-Karamet east=Oriphan west=Mopi-Tuthicyg
Pricronle north=Thicor south=Dreametne east=Astoslamb west=Meglo-Davditegla
Trapistmio north=Terra-Lera south=Eonzeus east=Spholi-Caaes west=Tostau
Segthura north=Nomi-Epsi south=Xima east=Lumeglo west=Cronmorry
Cordo-Soli north=Opconar south=Epsi-Gotos east=Noses west=Perida-Toidap
Aesnet north=Celles-Cogmercu south=Castalbo east=Qualu west=Astoshec
Scherlu north=Kupsicnoe south=Corida-Seplonsi east=Pessusvian west=Lambdus
Ceti-Biacheatos north=Marida-Domi south=Shporio-Siclon east=Phanibi-Dreaboslic west=Desaura
Vianheinlein north=Gehephaes south=Luspholi east=Lucat west=Caldomi-Licthe
Terralan north=Plutopia-Morbiaam south=Boslic-Phoboslic-Conmar east=Appotel-Tupi west=Astosbia
Mialan north=Karagi south=Pago-Castalpia east=Seppha west=Ciikarari
Embo-Barsonles north=Catsaturn south=Achrade east=Cheaar west=Ticica
Osoli-Tiaura north=Lastulas south=Liza east=Nacoglamb west=Lera-Dorsai
Lebdani north=Thoslethphan south=Giru east=Reszeusdo west=Zeusthoshe
Rionaya north=Cordo-Ceti south=Zarmeper east=Ditenigdav west=Cetiplu
Kupsic-Kara north=Respha south=Keplardre east=Tosra west=Keplar-Leonisbi
Mini-Reliclamb north=Stelle-Piusjupi south=Turnstag east=Dorsai-Nigju west=Peri-Sictaxmia
Dradorsai north=Britoidpul south=Resarva east=Mercu-Cosmari west=Tidre
Saturneon north=Aeskeplar south=Sustyphoon east=Kisxi west=Dermini-Ara
Tuschermo north=Naaldi south=Saturn-Cica east=Loxya west=Benzar-Aeslera
Embo-Dermini north=Hephaes-Diavon south=Siclas east=Britoid-Budeni west=Segando
Dusto-Cordomi north=Siglarri south=Cordo-Mianeli east=Tedeibi west=Brankis
Chronos north=Mioca south=Topiadus east=Hephaes-Turnyaturn west=Susthosbi
Stagnibi-Vianli north=Leplein south=Metne-Lorida east=Miomeg west=Kisastos
Morach north=Raachra south=Magtyphoon east=Dosdi west=Jupi-Percii
Susdeni north=Stellera-Glatius south=Zeusve east=Endorsai-Lanphibar west=Cronap
Vontaxnet north=Ronsic south=Saicron east=Resvan west=Shporiona-Carda
Teno north=Drelon south=Aldige-Lethtosbran east=Restyphoon west=Mini-Simio
Potelmia-Sepdos north=Nosnibi south=Rora east=Shporio-Raquakis west=Saturnam
Cogne north=Cori-Xelides south=Riona-Piaqualo east=Dosaes west=Tiusmagtax
Dani-Sairontoid north=Promedra south=Pago-Omrida east=Josonob west=Piamarsphan
Lebsaisa north=Desosi south=Castalter east=Tadav-Piao west=Glatiusvian
Britoidval north=Dovnibi south=Metne-Oxioposo east=Telmia
Minibi-Osoli north=Susnos south=Ryriona-Vemorka east=Typhoonar west=Voncica
Nisleth north=Loxdan south=Glatiusti east=Septaqua west=Lera-Endor
Deigooxi north=Nomini-Tugobia south=Phiti east=Retsus west=Giappo
Vandav north=Chronosa south=Boslic-Osoli east=Astosbia-Ronlar
Pisttauri north=Lethob south=Terrario east=Omrida-Sigep west=Perciivar
Dybrenta north=Esla-Resmag south=Dunemarcal east=Vianopca west=Thura-Stelle
Trapist-Phobos north=Boslicry south=Susstag east=Osoli-Pulaph west=Phani-Eonop
Terra-Oxiciibri north=Losig south=Lera-Desson east=Eonben west=Miodisra
Pagoqua north=Segcron south=Drepiusju east=Leonis-Larti west=Thidusto
Licori north=Tiusci south=Astosme east=Ridani-Kararet west=Castalpha
Tosli north=Esla-Marcu south=Pribenzar east=Ceti-Urato west=Domi
Appo-Ando north=Mopiter-Turnhe south=Biru-Leonis east=Obli-Turora west=Noeli-Thura
Senes north=Dymar south=Potelmia east=Centauri-Oblikara west=Piuszeus
Dusto-Aura north=Conarva south=Ximari-Appo east=Marsdelta west=Diaesla
Aldige-Yami north=Delta south=Zathura-Tosbrenta west=Pistesla
Saiaes north=Aura south=Rionapius east=Phantax-Vetelmia west=Joa-Cygmorper
Hephaes-Tunedoneleb north=Cheaara south=Schermarphan east=Toidza west=Leprida
Piadite north=Britoid-Davstelle south=Dyres east=Pagoach west=Kiskismo
Dreapa north=Biacosma south=Dynim east=Licdite west=Obli-Neptune
Senbari north=Brenta-Karavarcon south=Embora-Dreatigo east=Dunesa west=Heccor
Boraori north=Kupsic-Aphrora south=Toidthibu east=Tatel west=Hephaescron
Minibi-Nulathi north=Marida-Pulcalic south=Licsusthe east=Ando-Danibi west=Arvada-Vuscosma
Cardani-Turnmini north=Aesphiaes south=Rycal east=Pluto-Piterra west=Glatiussep
Prome-Peska north=Cavian south=Mini-Genetsa east=Dorsai-Geben west=Perciiry
Vianvustax north=Desdei south=Benzarcat east=Ximari-Caldomi west=Ceti-Vianturnbran
Despe north=Terra-Voncel south=Pluto-Pussic east=Potelmia-Vanam west=Nigya
Disthili north=Hypho-Telmianoe south=Spholi-Jupi east=Simiosus west=Vallesti-Piaron
Embo-Budanres north=Phani-Meslasob south=Benzarta east=Phantaxscher west=Neptunebran
Davconkep north=Benzarhy south=Luto east=Cori west=Metneli-Perciijo
Vekeplar north=Oridei south=Lestias east=Ladige west=Corida-Boslic
Radelta north=Maram south=Napiusan east=Phani-Leinlethturn west=Bari-Corida
Epsimio-Trapiststel north=Leinach south=Ciileonis east=Phobos-Endor west=Laa
Deni-Lictel north=Lictra south=Goep east=Brankis west=Birukis
Cygrora north=Aphro-Kistunesai south=Nigesla east=Conkup west=Suseonlius
Osoli-Vilepba north=Rydige south=Tunepi east=Deskaratel west=Rionaturn
Phoonpri north=Amdige-Biru south=Thico east=Catza west=Cheamarpus
Biatyphoon north=Jocas south=Castalgo east=Duneta west=Chronosdre
Endor-Lanomi north=Mopi south=Buaphro east=Dreronchro west=Heli-Deispho
Lumari north=Disnula south=Jupi-Rionacar east=Schervan west=Marida-Neli
Zarno north=Nigbritoid south=Phobos-Boslic east=Centau-Heinlein west=Orikara
Piabran north=Keplar south=Laphoon east=Cogastos west=Hecoripho
Jupi-Ruheinlein north=Catdavaph south=Suscal east=Laphoon-Saturn west=Cabrenta
Dovap north=Gola south=Discarda east=Endor-Achra west=Sepvan
Talop north=Sepphilo south=Kupsic-Diaachra east=Buobli west=Landan
Buscyg north=Teleb south=Dorsai-Yarora east=Loar west=Dustopia-Lardus
Auralar north=Cashporio south=Meglopi east=Lonsimio west=Varve
Omrida-Bora north=Heli-Dantal south=Licdradone east=Yaom west=Ronop
Lonsi-Leinam north=Mardisom south=Potelmia-Terra east=Sicphobos west=Magdone
Noeli-Spholi north=Astos-Lisic south=Tiusesla east=Rudani west=Lau
Appo-Danlesti north=Liusles south=Danibi-Lonsi east=Branphi west=Lera-Morarva
Danibi-Rettaxoso north=Opdei south=Kupsicnos east=Lepan west=Dosbiaep
Noseon north=Rorabar south=Astos-Barida east=Terra-Tuneori west=Lazathu
Vidovdre north=Minibi-Metne south=Cronvesic east=Piusendor west=Chronos-Arames
Dusto-Ara north=Busmarto south=Mialeb east=Marty west=Valles-Vanaesthu
Miaheph north=Rudraleth south=Arva-Sennep east=Saisigori west=Nimbusbus
Leonis-Domini north=Brentadav south=Taurida-Aesnigep east=Pesbos west=Taxxima
Opte north=Drecal south=Lardorsai east=Leprida west=Dunelo
Nula-Danibi north=Ura-Potelmia south=Yabus east=Lanva west=Deni-Pesmor
Gonethy north=Licpa south=Phanibi-Dorsai east=Branperi west=Doscen
Conpiter north=Leinvussi south=Memagdos east=Neptuneori
Brenta-Orilepcon north=Canos south=Aldige-Lesti east=Conmars west=Dige-Osimio
Cronquale north=Aesper south=Achratel east=Aura-Josoli west=Heinleinpho
Luosi north=Typhoon south=Lilarcel east=Marembo west=Cardani-Chronos
Simiovan north=Boslic-Phoboslic south=Hephaes east=Sondreanig west=Centau-Peri
Larva north=Eonleb south=Miosegstel east=Phanibi-Plutopia west=Heinleincog
Toidcen north=Pulchea south=Vianpho east=Denibi-Dandisval west=Tepriba
Tatel north=Kupsicgo south=Ciijona east=Phanibi west=Boraori
Tauri-Castal north=Toiddreare south=Godus east=Vear west=Telmiahy
Aldi-Terrathe north=Aura-Saturnem south=Dreacar east=Amdi-Leratos west=Conkup
Embora-Tuhecthos north=Meaphro south=Leonis-Nelicii east=Viandov west=Sepdunetra
Pluto-Segdeigla north=Dorsai-Obli south=Perida-Phani east=Opnimbus west=Cogthu
Rionames north=Kisvar south=Leinvusma east=Bora-Obli west=Joopde
Dermini-Pulba north=Deni-Miopiter south=Bora-Appotel east=Noelial west=Lanetal
Pultra north=Prome-Phobos south=Solikis west=Stelle-Bora
Dermini-Conle north=Taap south=Dani-Auraty east=Ridani-Ceti west=Thicel
Centau north=Diabar south=Thedo east=Teando west=Omri-Mini
Hypho-Mari north=Hecori south=Aldi-Senendor east=Rionahein west=Dorsaidra
Centau-Achra north=Sonphoon south=Stelle-Calera east=Desnigsai west=Noeli-Cronxima
Ditemio north=Nulatos south=Davnoscas east=Resca west=Disvianve
Phani-Nispo north=Cogti south=Davte east=Marvargla west=Resa
Neptunehy north=Zathu-Dusto south=Dialon east=Gedov west=Nimbus-Spholides
Domini-Benzar north=Cury-Scherlarlius south=Sepnoeli east=Epsimio-Pluto west=Pesdos
Lera-Luas north=Nisscher south=Benzar-Chronosdes east=Cardani-Cadei west=Veluap
Nigbari north=Nisdune south=Barida-Shporio east=Taxjo west=Netnimbus
Dermi-Embo north=Rycica south=Lepphani east=Nomi-Mopi west=Caldomi-Prome
Danleb north=Endor-Tunespho south=Cordomi-Arario east=Dani-Aphro west=Borason
Lerano north=Davcheapus south=Disepsi east=Bulic west=Deni-Ciieonro
Stellera-Dovdy north=Dreaepsi south=Varlarci east=Piter-Percii west=Phoonsep
Larda north=Ladone south=Mexar east=Hephaesni west=Tiuszathu-Netturio
Dermini-Chronosach north=Valles south=Embo-Phoonaeseon east=Varmercu west=Aesvuscyg
Vianxarres north=Toshephaes south=Achranim east=Vonmarspa west=Hyphobos-Yatoidau
Deshec north=Typhoonnu south=Prido east=Tauri-Cheareteon west=Zeusjochro
Deilo north=Rabren south=Deslamb east=Diagoo west=Dusto-Tisegmor
Shporio-Solipes north=Resdra south=Ara-Dresonpri east=Aestax west=Typhoonlein
